file,exists,rows,last_modified,role,upstream_source,used_in,notes
data\raw\gleif_my_lei.parquet,True,2235,2026-06-22T07:37:30,MY domestic LEI universe,GLEIF API LEI records endpoint,raw coverage table; UIE pipeline; deck country snapshot,Country-linked legal-entity records. MY raw file was refreshed before final relationship refresh completed.
data\interim\gleif_my_relationships.parquet,True,317,2026-04-12T09:41:57,MY completed parent relationships,GLEIF API relationship endpoints,UIE evidence ladder; graph/scoring; relationship counts,"Completed relationship output. If WIP/scanned files exist, a refresh is still incomplete."
data\interim\gleif_my_relationships_wip.parquet,True,147,2026-06-22T11:15:53,MY relationship refresh checkpoint,GLEIF API relationship endpoints,provenance caveat only,"Checkpoint artifact, not a final input unless relationship scan completes."
data\interim\gleif_my_relationships_scanned.parquet,True,901,2026-06-22T11:15:53,MY scanned-LEI checkpoint,GLEIF API relationship endpoints,provenance caveat only,Tracks scanned LEIs during resumable relationship refresh.
data\raw\gleif_my_related_lei.parquet,True,127,2026-04-12T12:09:52,MY related parent LEI records,GLEIF API LEI record lookup by LEI,parent country/name enrichment; UIE assignment,
data\interim\gleif_my_reporting_exceptions.parquet,True,1751,2026-04-12T21:22:04,MY reporting exceptions,GLEIF API reporting-exception endpoints,exception counts; UIE evidence/context,
data\processed\my\uie_assignments.parquet,True,2235,2026-06-22T13:10:09,MY derived UIE assignments,"Pipeline-derived from GLEIF records, relationships, exceptions, inference outputs and manual overrides",Word/deck UIE counts; density numerator,
data\processed\my\investor_economy_summary.parquet,True,30,2026-06-22T13:10:09,MY investor economy summary,Pipeline-derived UIE aggregation,supporting country summaries,
data\raw\gleif_sg_lei.parquet,True,12446,2026-06-22T10:30:31,SG domestic LEI universe,GLEIF API LEI records endpoint,raw coverage table; UIE pipeline; deck country snapshot,Country-linked legal-entity records. MY raw file was refreshed before final relationship refresh completed.
data\interim\gleif_sg_relationships.parquet,True,2818,2026-04-18T01:11:26,SG completed parent relationships,GLEIF API relationship endpoints,UIE evidence ladder; graph/scoring; relationship counts,"Completed relationship output. If WIP/scanned files exist, a refresh is still incomplete."
data\interim\gleif_sg_relationships_wip.parquet,True,4,2026-06-22T13:27:05,SG relationship refresh checkpoint,GLEIF API relationship endpoints,provenance caveat only,"Checkpoint artifact, not a final input unless relationship scan completes."
data\interim\gleif_sg_relationships_scanned.parquet,True,1075,2026-06-22T13:27:05,SG scanned-LEI checkpoint,GLEIF API relationship endpoints,provenance caveat only,Tracks scanned LEIs during resumable relationship refresh.
data\raw\gleif_sg_related_lei.parquet,True,1063,2026-04-18T01:47:38,SG related parent LEI records,GLEIF API LEI record lookup by LEI,parent country/name enrichment; UIE assignment,
data\interim\gleif_sg_reporting_exceptions.parquet,True,10552,2026-04-18T07:57:26,SG reporting exceptions,GLEIF API reporting-exception endpoints,exception counts; UIE evidence/context,
data\processed\sg\uie_assignments.parquet,True,12351,2026-06-19T16:33:20,SG derived UIE assignments,"Pipeline-derived from GLEIF records, relationships, exceptions, inference outputs and manual overrides",Word/deck UIE counts; density numerator,
data\processed\sg\investor_economy_summary.parquet,True,58,2026-06-19T16:33:20,SG investor economy summary,Pipeline-derived UIE aggregation,supporting country summaries,
data\raw\gleif_th_lei.parquet,True,2371,2026-06-22T10:11:20,TH domestic LEI universe,GLEIF API LEI records endpoint,raw coverage table; UIE pipeline; deck country snapshot,Country-linked legal-entity records. MY raw file was refreshed before final relationship refresh completed.
data\interim\gleif_th_relationships.parquet,True,557,2026-04-19T17:07:00,TH completed parent relationships,GLEIF API relationship endpoints,UIE evidence ladder; graph/scoring; relationship counts,"Completed relationship output. If WIP/scanned files exist, a refresh is still incomplete."
data\interim\gleif_th_relationships_wip.parquet,True,129,2026-06-22T13:27:51,TH relationship refresh checkpoint,GLEIF API relationship endpoints,provenance caveat only,"Checkpoint artifact, not a final input unless relationship scan completes."
data\interim\gleif_th_relationships_scanned.parquet,True,1176,2026-06-22T13:27:51,TH scanned-LEI checkpoint,GLEIF API relationship endpoints,provenance caveat only,Tracks scanned LEIs during resumable relationship refresh.
data\raw\gleif_th_related_lei.parquet,True,230,2026-04-19T17:12:34,TH related parent LEI records,GLEIF API LEI record lookup by LEI,parent country/name enrichment; UIE assignment,
data\interim\gleif_th_reporting_exceptions.parquet,True,1976,2026-04-19T21:12:24,TH reporting exceptions,GLEIF API reporting-exception endpoints,exception counts; UIE evidence/context,
data\processed\th\uie_assignments.parquet,True,2343,2026-06-19T16:33:34,TH derived UIE assignments,"Pipeline-derived from GLEIF records, relationships, exceptions, inference outputs and manual overrides",Word/deck UIE counts; density numerator,
data\processed\th\investor_economy_summary.parquet,True,36,2026-06-19T16:33:35,TH investor economy summary,Pipeline-derived UIE aggregation,supporting country summaries,
data\raw\gleif_id_lei.parquet,True,1459,2026-04-16T10:39:31,ID domestic LEI universe,GLEIF API LEI records endpoint,raw coverage table; UIE pipeline; deck country snapshot,Country-linked legal-entity records. MY raw file was refreshed before final relationship refresh completed.
data\interim\gleif_id_relationships.parquet,True,121,2026-04-16T11:44:50,ID completed parent relationships,GLEIF API relationship endpoints,UIE evidence ladder; graph/scoring; relationship counts,"Completed relationship output. If WIP/scanned files exist, a refresh is still incomplete."
data\interim\gleif_id_relationships_wip.parquet,False,missing,,ID relationship refresh checkpoint,GLEIF API relationship endpoints,provenance caveat only,"Checkpoint artifact, not a final input unless relationship scan completes."
data\interim\gleif_id_relationships_scanned.parquet,False,missing,,ID scanned-LEI checkpoint,GLEIF API relationship endpoints,provenance caveat only,Tracks scanned LEIs during resumable relationship refresh.
data\raw\gleif_id_related_lei.parquet,True,54,2026-04-16T15:30:01,ID related parent LEI records,GLEIF API LEI record lookup by LEI,parent country/name enrichment; UIE assignment,
